Year: 2011
                                  bak  ara  fra   dan  kor  afr-za  swe     ind  eng  mkd  bel  ukr  deu  rus   ces  pam  lav   afr  bul  ina  xho-za  ara-ps   msa  oss  rus-kz   hun    tur  eng-ai  hat    cat  bcl  est   ita  eng-ca  ltz  tam   ron  sun  eng-ag  eng-gs  fas  nob  ido  dan-gl  nno  slk-sk  gsw  new  srp  pus  tgk  bos  uzb  glg  wln   pol  div    spa  eng-ki  tat  ara-tn  ara-sy  scn   lus  eng-ac  kal-gl    fin  cym  cos  lug  eng-za  ell  che  kaz  nob-no  mlg   vie  hbs-rs  por-br  fra-bf  kal  kir  ceb  dan-dk   hin  heb  bre  rus-md  mon  gle  pnb  eus   isl  ben  kan  tha  mlt  spa-ec  guj    hrv  hye  ces-eu  slv-si  ben-bd  epo  sin  nso  lat  urd  eng-gi  deu-ch  cat-ad  fao  hif  sna-zw  ara-bh  eng-fj  min  fry   som  swa  sah  chv  spa-uy  zul  lim  eng-gm  tel  bpy   slv  por-pt  vec  zho-simp-tw  jpn  spa-cr  azj  fra-gp  eng-uk  sna  cmn  deu-be  deu-at  por-an  kat  eng-eu  pms  yid  eng-bm  spa-co  amh  gom  eng-gp  eng-bn  vol  uig  hsb  als-al  aze  hye-am  jav  mal    por  hbs  als  que  oci  mar  nld  por-mo  ara-ae  roh  ilo  swh  deu-hu  ron-md  zho-trad  eng-nz   lit   slk  lmo  zul-za  mri  deu-lu  eng-au  ekk  nep  pes-ir   tgl
Scotland                            0    0    0    0    0       0    0    0      0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0      0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Thailand                            0    0    0    0    0       0    0    0      0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0      0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Jamaica                             0    0    0    0    0       0    0    0      0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0      0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Lebanon                             0    0    0    0    0       0    0    0      0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0      0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Vermont                             0    0    0    0    0       0    0    0      0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0      0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Macau                               0    0    0    0    0       0    0    0      0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0      0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Russia                              0    0    0    0    0       0    0    0      0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0      0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Burundi                             0    0    0    0    0       0    0    0      0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0      0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Slovakia                            0    0    0    0    0       0    0    0      0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0      0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Liberia                             0    0    0    0    0       0    0    0      0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0      0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Anhui                               0    0    0    0    0       0    0    0      0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0      0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Caribbean                           0    0    0    0    0       0    0    0      0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0      0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Estonia                             0    0    0    0    0       0    0    0      0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0      0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
New Hampshire                       0    0    0    0    0       0    0    0      0    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0    0       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0      0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0


Year: 2005
                                  bak  ara  fra  dan  kor  afr-za  swe  ind    eng  mkd  bel  ukr    deu  rus  ces  pam  lav  afr  bul  ina  xho-za  ara-ps  msa  oss  rus-kz  hun    tur  eng-ai  hat  cat  bcl  est  ita  eng-ca  ltz  tam  ron  sun  eng-ag  eng-gs  fas  nob  ido  dan-gl  nno  slk-sk  gsw  new  srp  pus  tgk  bos  uzb  glg  wln  pol  div  spa  eng-ki  tat  ara-tn  ara-sy  scn  lus  eng-ac  kal-gl  fin  cym  cos  lug  eng-za  ell  che  kaz  nob-no  mlg  vie  hbs-rs  por-br  fra-bf  kal  kir  ceb  dan-dk  hin  heb  bre  rus-md  mon  gle  pnb  eus  isl  ben  kan  tha  mlt  spa-ec  guj  hrv  hye  ces-eu  slv-si  ben-bd  epo  sin  nso  lat  urd  eng-gi  deu-ch  cat-ad  fao  hif  sna-zw  ara-bh  eng-fj  min  fry  som  swa  sah  chv  spa-uy  zul  lim  eng-gm  tel  bpy  slv  por-pt  vec  zho-simp-tw  jpn  spa-cr  azj  fra-gp  eng-uk  sna  cmn  deu-be  deu-at  por-an  kat  eng-eu  pms  yid  eng-bm  spa-co  amh  gom  eng-gp  eng-bn  vol  uig  hsb  als-al  aze  hye-am  jav  mal  por  hbs  als  que  oci  mar  nld  por-mo  ara-ae  roh  ilo  swh  deu-hu  ron-md  zho-trad  eng-nz  lit  slk  lmo  zul-za  mri  deu-lu  eng-au  ekk  nep  pes-ir  tgl
United Kingdom                      0    0    0    0    0       0    0    0   5035    0    0    0   3397    0    0    0    0    0    0    0       0       0    0    0       0    0    116       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    2       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Germany                             0    0    0    0    0       0    0    0   2295    0    0    0  66019    0    0    0    0    0    0    0       0       0    0    0       0    0    671       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    2       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
United States                       0    0    0    0    0       0    0    0  46650    0    0    0   6203    0    0    0    0    0    0    0       0       0    0    0       0    0    581       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    4       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Nigeria                             0    0    0    0    0       0    0    0    169    0    0    0    108    0    0    0    0    0    0    0       0       0    0    0       0    0     35       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
France                              0    0    0    0    0       0    0    0   1548    0    0    0   2334    0    0    0    0    0    0    0       0       0    0    0       0    0    475       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    1       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
South Korea                         0    0    0    0    0       0    0    0    653    0    0    0    510    0    0    0    0    0    0    0       0       0    0    0       0    0     34       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Indonesia                           0    0    0    0    0       0    0    0    794    0    0    0    543    0    0    0    0    0    0    0       0       0    0    0       0    0     12       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Turkey                              0    0    0    0    0       0    0    0    396    0    0    0   1160    0    0    0    0    0    0    0       0       0    0    0       0    0  34625       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
China                               0    0    0    0    0       0    0    0   1753    0    0    0    511    0    0    0    0    0    0    0       0       0    0    0       0    0     97       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    1       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Democratic Republic of the Congo    0    0    0    0    0       0    0    0     21    0    0    0      6    0    0    0    0    0    0    0       0       0    0    0       0    0      0       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Ecuador                             0    0    0    0    0       0    0    0     90    0    0    0     46    0    0    0    0    0    0    0       0       0    0    0       0    0      2       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
India                               0    0    0    0    0       0    0    0   4885    0    0    0    441    0    0    0    0    0    0    0       0       0    0    0       0    0    230       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Brazil                              0    0    0    0    0       0    0    0     71    0    0    0    148    0    0    0    0    0    0    0       0       0    0    0       0    0      2       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Mexico                              0    0    0    0    0       0    0    0    696    0    0    0    247    0    0    0    0    0    0    0       0       0    0    0       0    0     22       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Japan                               0    0    0    0    0       0    0    0   2367    0    0    0    727    0    0    0    0    0    0    0       0       0    0    0       0    0    172       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    4       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Romania                             0    0    0    0    0       0    0    0    101    0    0    0      0    0    0    0    0    0    0    0       0       0    0    0       0    0      6       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Tunisia                             0    0    0    0    0       0    0    0     32    0    0    0     90    0    0    0    0    0    0    0       0       0    0    0       0    0      4       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
Italy                               0    0    0    0    0       0    0    0    833    0    0    0    625    0    0    0    0    0    0    0       0       0    0    0       0    0     18       0    0    0    0    0    0       0    0    0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0    0    0    0       0    0       0       0    0    0       0       0    0    0    0    0       0    0    0    0       0    0    0       0       0       0    0    0    0       0    0    0    0       0    0    0    0    0    0    0    0    0    0       0    0    0    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0    0    0    0    0       0    0    0       0    0    0    0       0    0            0    1       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0       0       0    0    0    0       0       0         0       0    0    0    0       0    0       0       0    0    0       0    0
